show_id,director_1,director_2,director_3,director_4,director_5,director_6,director_7,director_8,director_9,director_10,director_11,director_12,director_13
s299,Kayode Kasum,null,null,null,null,null,null,null,null,null,null,null,null
s300,Just Philippot,null,null,null,null,null,null,null,null,null,null,null,null
s301,Kirk DeMicco,Brandon Jeffords,null,null,null,null,null,null,null,null,null,null,null
s302,Rohit Shetty,null,null,null,null,null,null,null,null,null,null,null,null
s303,Cavi Borges,Luciano Vidigal,null,null,null,null,null,null,null,null,null,null,null
s304,Alejandro Doria,null,null,null,null,null,null,null,null,null,null,null,null
s305,Laura Fairrie,null,null,null,null,null,null,null,null,null,null,null,null
s306,Marcelo Piñeyro,null,null,null,null,null,null,null,null,null,null,null,null
s307,Izu Ojukwu,null,null,null,null,null,null,null,null,null,null,null,null
s308,Peter Winther,null,null,null,null,null,null,null,null,null,null,null,null
s309,Susan Lacy,null,null,null,null,null,null,null,null,null,null,null,null
s310,null,null,null,null,null,null,null,null,null,null,null,null,null
s311,Billy Corben,null,null,null,null,null,null,null,null,null,null,null,null
s312,null,null,null,null,null,null,null,null,null,null,null,null,null
s313,null,null,null,null,null,null,null,null,null,null,null,null,null
s314,null,null,null,null,null,null,null,null,null,null,null,null,null
s315,James Mangold,null,null,null,null,null,null,null,null,null,null,null,null
s316,Chineze Anyaene,null,null,null,null,null,null,null,null,null,null,null,null
s317,Hsu Fu-chun,null,null,null,null,null,null,null,null,null,null,null,null
s318,Kristine Stolakis,null,null,null,null,null,null,null,null,null,null,null,null
s319,Eva Müller,Michael Schmitt,null,null,null,null,null,null,null,null,null,null,null
s320,null,null,null,null,null,null,null,null,null,null,null,null,null
s321,null,null,null,null,null,null,null,null,null,null,null,null,null
s322,null,null,null,null,null,null,null,null,null,null,null,null,null
s323,null,null,null,null,null,null,null,null,null,null,null,null,null
s324,null,null,null,null,null,null,null,null,null,null,null,null,null
s325,null,null,null,null,null,null,null,null,null,null,null,null,null
s326,Brian Levant,null,null,null,null,null,null,null,null,null,null,null,null
s327,Rod Daniel,null,null,null,null,null,null,null,null,null,null,null,null
s328,Robert Zemeckis,null,null,null,null,null,null,null,null,null,null,null,null
s329,Todor Chapkanov,null,null,null,null,null,null,null,null,null,null,null,null
s330,Steven Spielberg,null,null,null,null,null,null,null,null,null,null,null,null
s331,Phil Lord,Christopher Miller,null,null,null,null,null,null,null,null,null,null,null
s332,null,null,null,null,null,null,null,null,null,null,null,null,null
s333,Renny Harlin,null,null,null,null,null,null,null,null,null,null,null,null
s334,John Hughes,null,null,null,null,null,null,null,null,null,null,null,null
s335,Justin Baldoni,null,null,null,null,null,null,null,null,null,null,null,null
s336,Joe Roth,null,null,null,null,null,null,null,null,null,null,null,null
s337,null,null,null,null,null,null,null,null,null,null,null,null,null
s338,Mark Helfrich,null,null,null,null,null,null,null,null,null,null,null,null
s339,null,null,null,null,null,null,null,null,null,null,null,null,null
s340,Mag Hsu,Hsu Chih-yen,null,null,null,null,null,null,null,null,null,null,null
s341,Christopher Nolan,null,null,null,null,null,null,null,null,null,null,null,null
s342,Paul Thomas Anderson,null,null,null,null,null,null,null,null,null,null,null,null
s343,Nick Castle,null,null,null,null,null,null,null,null,null,null,null,null
s344,Howard Zieff,null,null,null,null,null,null,null,null,null,null,null,null
s345,Howard Zieff,null,null,null,null,null,null,null,null,null,null,null,null
s346,David Feiss,null,null,null,null,null,null,null,null,null,null,null,null
s347,David Gordon Green,null,null,null,null,null,null,null,null,null,null,null,null
s348,Jorge Blanco,null,null,null,null,null,null,null,null,null,null,null,null
s349,Zara Hayes,null,null,null,null,null,null,null,null,null,null,null,null
s350,Gary Ross,null,null,null,null,null,null,null,null,null,null,null,null
s351,Clint Eastwood,null,null,null,null,null,null,null,null,null,null,null,null
s352,Trey Parker,null,null,null,null,null,null,null,null,null,null,null,null
s353,Kelly Fremon Craig,null,null,null,null,null,null,null,null,null,null,null,null
s354,Tom Elkins,null,null,null,null,null,null,null,null,null,null,null,null
s355,Tony Scott,null,null,null,null,null,null,null,null,null,null,null,null
s356,Brad Furman,null,null,null,null,null,null,null,null,null,null,null,null
s357,Sylvain White,null,null,null,null,null,null,null,null,null,null,null,null
s358,Brad Anderson,null,null,null,null,null,null,null,null,null,null,null,null
s359,Irwin Winkler,null,null,null,null,null,null,null,null,null,null,null,null
s360,Spike Lee,null,null,null,null,null,null,null,null,null,null,null,null
s361,Garry Marshall,null,null,null,null,null,null,null,null,null,null,null,null
s362,null,null,null,null,null,null,null,null,null,null,null,null,null
s363,Kenneth Gyang,null,null,null,null,null,null,null,null,null,null,null,null
s364,Jaume Balagueró,null,null,null,null,null,null,null,null,null,null,null,null
s365,null,null,null,null,null,null,null,null,null,null,null,null,null
s366,Najwa Najjar,null,null,null,null,null,null,null,null,null,null,null,null
s367,null,null,null,null,null,null,null,null,null,null,null,null,null
s368,Selçuk Metin,null,null,null,null,null,null,null,null,null,null,null,null
s369,null,null,null,null,null,null,null,null,null,null,null,null,null
s370,null,null,null,null,null,null,null,null,null,null,null,null,null
s371,null,null,null,null,null,null,null,null,null,null,null,null,null
s372,Najwa Najjar,null,null,null,null,null,null,null,null,null,null,null,null
s373,Keishi Otomo,null,null,null,null,null,null,null,null,null,null,null,null
s374,David Charhon,null,null,null,null,null,null,null,null,null,null,null,null
s375,Michelle Bello,null,null,null,null,null,null,null,null,null,null,null,null
s376,Steven Tsuchida,null,null,null,null,null,null,null,null,null,null,null,null
s377,null,null,null,null,null,null,null,null,null,null,null,null,null
s378,Daniel Markowicz,null,null,null,null,null,null,null,null,null,null,null,null
s379,Louie Schwartzberg,null,null,null,null,null,null,null,null,null,null,null,null
s380,null,null,null,null,null,null,null,null,null,null,null,null,null
s381,Glen Winter,null,null,null,null,null,null,null,null,null,null,null,null
s382,null,null,null,null,null,null,null,null,null,null,null,null,null
s383,null,null,null,null,null,null,null,null,null,null,null,null,null
s384,Ram Gopal Varma,null,null,null,null,null,null,null,null,null,null,null,null
s385,David Benullo,null,null,null,null,null,null,null,null,null,null,null,null
s386,null,null,null,null,null,null,null,null,null,null,null,null,null
s387,null,null,null,null,null,null,null,null,null,null,null,null,null
s388,Laxman Utekar,null,null,null,null,null,null,null,null,null,null,null,null
s389,Royale Watkins,Rich Schlansker,null,null,null,null,null,null,null,null,null,null,null
s390,Yuval Adler,null,null,null,null,null,null,null,null,null,null,null,null
s391,null,null,null,null,null,null,null,null,null,null,null,null,null
s392,null,null,null,null,null,null,null,null,null,null,null,null,null
s393,Quentin Tarantino,null,null,null,null,null,null,null,null,null,null,null,null
s394,Clay Glen,null,null,null,null,null,null,null,null,null,null,null,null
s395,Muzi Mthembu,null,null,null,null,null,null,null,null,null,null,null,null
s396,Marcos Bucay,null,null,null,null,null,null,null,null,null,null,null,null
s397,Peter Thorwarth,null,null,null,null,null,null,null,null,null,null,null,null
